z_spec,MAG_u,MAG_g,MAG_r,MAG_i
0.87056,21.477896,21.29097,20.956375,20.314959
1.40396,23.87206,23.698841,23.400745,23.227322
0.97809,22.559608,22.389357,22.32336,21.851278
0.85613,23.74874,23.43741,23.729189,23.085209
0.97787,22.961782,23.153517,23.17263,22.769138
0.76584,23.166866,22.807905,22.426521,21.695389
1.15886,22.882923,22.673786,22.40894,22.288973
0.72442,24.521753,24.423897,24.040642,22.603779
0.79148,23.930958,23.737862,23.6926,22.808908
1.16335,23.729504,23.964659,23.965702,23.378712
0.67544,24.568958,24.088095,23.70354,22.96925
1.20659,23.58668,23.820234,23.949951,23.392036
0.8542,23.682299,23.28944,23.123844,22.063538
0.80565,23.69402,23.759752,23.657589,23.173166
0.84579,24.128431,23.727274,23.560682,22.932987
1.0107,23.371847,23.339617,23.198587,22.946459
1.11117,24.020494,23.846321,23.85944,22.924337
0.73323,23.775396,23.96696,24.012812,23.14518
0.79386,25.137135,23.9763,23.624752,22.548168
1.2296,24.943697,24.229616,24.06188,23.82112
0.73966,23.68357,23.899244,23.690948,22.42889
0.81292,22.54842,22.351643,22.00704,21.297876
0.80833,23.618402,23.785265,23.745977,23.372078
0.85326,24.201578,23.782063,23.387856,22.678438
0.72381,23.350985,23.239557,22.908606,22.659393
0.83205,23.849316,23.673656,23.549831,22.673586
1.01842,23.430761,23.400925,23.15557,22.698927
0.9752,23.607475,23.753592,23.384167,22.962214
0.88508,24.444498,24.048635,23.879467,23.23903
1.1309,23.627245,23.603123,23.230932,22.846928
0.86194,22.188046,22.286886,22.178843,21.555443
0.96945,23.941963,24.010403,23.995188,23.069683
1.40364,23.355589,23.09195,23.550724,22.959913
0.77941,22.523228,22.697298,22.857195,22.613024
0.69829,23.887611,23.506672,23.13525,22.756372
0.96579,23.328106,23.516193,23.636204,23.403334
0.746,23.94847,23.261509,22.953478,22.414658
0.74031,23.144361,23.149658,22.979027,21.7938
0.809,23.91319,23.888586,23.804586,23.569311
1.06665,24.106844,24.095795,23.971703,23.70225
0.96898,24.090223,24.143055,23.744614,23.020176
0.78386,23.820679,23.909739,23.680185,22.919212
0.61665,23.93553,23.711447,23.294146,22.984705
0.75263,23.446959,23.586174,23.6318,23.049616
1.08275,24.156786,23.824757,23.530159,23.215336
0.86603,23.479427,23.30164,23.09844,22.137552
0.79738,22.990671,22.798363,23.165783,22.138493
0.36804,24.5584,23.94795,23.530333,23.291424
0.87059,23.67929,23.671795,23.326355,22.48243
0.98347,23.762587,23.80279,23.907276,23.5857
1.08274,24.181507,24.09615,23.772781,23.430187
1.02278,23.768911,23.874945,23.506313,23.016745
0.84278,23.423067,23.616629,23.653015,23.045107
0.90262,23.529356,23.603973,23.901949,23.43082
1.0582,24.535933,24.382421,23.985964,23.363136
0.87193,24.87482,24.15469,23.706562,22.977453
0.72647,21.275604,21.109728,20.85122,20.331099
0.81253,22.650713,22.572498,22.56919,22.15527
1.05455,23.861975,23.621504,23.545933,23.018759
1.14458,24.292126,23.808964,23.829569,23.643517
1.26893,23.782045,23.4727,23.56099,23.19896
0.82277,24.180061,23.703943,23.805872,22.92488
0.68561,22.790966,22.90435,22.492842,21.605488
0.8543,23.680555,23.125948,22.90077,22.157516
0.97988,24.247711,24.233915,24.097824,22.840416
0.733,24.085022,24.001472,23.577747,22.678896
1.19773,22.64454,22.663782,22.344269,22.08562
1.37288,24.160143,24.035442,23.865984,23.517313
0.94485,23.736113,23.64788,23.417704,22.763027
0.84579,24.012638,24.046633,23.848831,23.2521
1.28443,23.605879,23.960112,23.814249,23.628546
1.09366,23.547539,23.496672,23.729052,23.593702
1.02443,24.254242,23.8401,23.896965,23.733747
0.89358,23.805622,23.625175,23.280834,22.68948
0.85503,23.836897,23.980785,24.077263,23.864248
0.97254,23.71569,23.679087,23.511219,23.379082
1.03553,23.239788,23.271343,23.686428,23.49405
0.92767,24.218493,23.850723,23.785168,23.132784
0.73703,23.712168,23.637247,23.404772,22.534529
1.19615,23.726295,23.496305,23.390568,22.686062
0.75059,24.168137,24.031216,23.802301,22.415886
1.05724,24.57894,24.140774,23.745426,23.015247
1.12829,24.376272,24.257366,23.841146,22.998413
0.80605,22.58975,22.431599,22.16378,21.285334
0.83828,24.268541,23.963911,24.068214,23.552128
0.94578,23.794706,23.97621,23.608637,22.776764
0.64671,23.671833,23.67308,23.309153,22.735313
0.80223,25.031708,24.002924,24.029093,23.5215
0.69692,24.566599,23.96048,23.62687,23.225258
0.87274,23.551819,23.801321,23.751417,23.606709
0.79632,21.781265,21.656954,21.438002,20.905909
1.19063,24.205162,24.226145,23.972311,23.24998
1.30629,23.732758,23.562431,23.688332,23.506428
0.91651,23.247173,23.458794,23.58256,22.944313
1.02867,23.132853,23.443735,23.4557,23.008379
0.80838,24.167017,24.08112,23.916742,23.588299
0.88544,23.973295,23.502897,23.339354,23.007702
1.27657,23.671535,23.587189,23.401035,23.164047
0.72655,23.41607,23.71155,23.389668,22.703012
0.73549,23.765736,23.744825,23.517738,22.424181
0.74388,24.382038,23.886806,23.723236,22.90223
0.77427,24.10921,23.314695,23.538078,22.799173
1.09929,23.731852,23.921638,23.815567,23.651323
0.79949,23.547571,23.692852,23.453707,22.744682
1.05568,23.55919,23.193102,22.772038,22.502932
0.86554,22.871302,22.825266,22.813887,22.104918
0.7328,22.040949,21.864565,21.460993,20.776728
0.80037,22.508978,22.419302,22.180918,21.464005
0.75495,21.891785,21.899744,21.712341,21.065306
0.86766,23.984348,23.431149,23.616648,22.501335
0.81866,23.661503,23.79379,23.506752,22.743998
0.92965,24.356838,24.262005,24.006214,23.869783
0.85394,24.306316,24.081083,24.063572,23.21903
1.09497,23.54206,23.646748,23.554,23.034143
0.99325,22.977732,23.050539,22.980751,22.36069
0.78943,24.478916,23.763649,23.939789,23.469166
0.16773,23.544834,22.812675,22.493395,22.362564
0.93779,21.80816,21.824842,21.731775,21.410025
0.7466,23.42533,23.302223,23.565119,23.159792
1.34202,23.462877,23.565464,23.78613,23.58331
1.2592,23.293983,23.32837,23.28279,23.13122
1.03375,23.145437,23.169601,23.140606,22.67767
0.75518,22.611012,22.964792,23.374535,23.229696
0.87021,24.426939,23.83545,23.892391,23.034828
0.59619,23.599426,23.255833,23.388275,22.64652
0.80937,24.16753,24.11259,23.925243,23.6034
0.9135,23.075638,24.51771,24.087557,23.021399
1.10895,23.850782,23.726233,23.515923,22.98593
0.77941,99,23.85348,23.591259,22.633577
1.24641,23.20724,23.160017,23.023542,22.891022
0.82008,24.173779,23.95752,23.588953,22.803886
1.0544,23.396229,23.144629,23.001894,22.549135
1.25853,23.164522,22.901262,23.027515,22.726261
1.02445,23.562788,23.698673,23.396194,22.810785
1.22856,23.70123,23.670267,23.512325,22.88593
0.86548,23.316448,23.400774,23.116718,22.587168
1.10034,22.89585,22.841707,22.665335,22.39977
1.05407,23.560946,23.531084,23.810377,23.648613
0.82587,23.241213,23.122997,23.033543,22.250465
0.757,22.423632,22.466497,22.17532,21.495327
1.40513,23.381138,23.558025,23.334478,23.083797
1.10239,23.878845,23.99269,23.645086,23.491863
1.38744,24.273563,23.894882,23.63048,23.340782
0.88475,24.422821,23.830183,23.548555,22.82199
1.25568,24.084904,23.758005,23.592766,23.158636
0.78365,23.408237,23.52693,23.190346,22.753017
1.25564,23.780973,23.53519,23.614574,23.358797
0.72124,24.473267,23.93743,23.61599,22.570835
0.79224,99,23.398674,23.165915,21.65487
1.09472,23.888937,23.760206,23.556168,23.432167
0.83372,22.989964,23.176226,22.919863,22.576204
0.75275,23.7559,23.745338,23.82606,23.373577
1.18637,23.165962,22.763662,22.510254,22.126028
0.7564,22.815943,22.437479,22.016237,21.12542
0.83699,23.698587,23.546673,23.394596,22.958515
0.79632,24.262161,23.899508,23.73001,23.225376
1.09773,23.284784,22.959122,22.803438,22.496363
0.78047,23.916136,23.60171,23.739758,23.238047
1.00134,23.564886,23.587164,23.412775,23.057863
0.96888,23.908182,23.810696,23.67988,23.210909
0.85416,22.261602,22.189337,22.123507,21.434565
0.86382,23.30253,23.197287,22.901081,22.159328
0.77253,23.555294,23.168743,23.022675,22.519657
1.20955,24.200544,24.101704,24.071823,23.856192
1.09489,22.29254,22.367899,22.38453,22.269411
0.79724,23.727795,23.36642,23.118664,21.981665
0.85246,22.697418,22.71158,22.546711,21.983442
1.11639,22.632553,22.605257,22.338812,22.235666
1.09564,23.135075,23.137836,23.138777,22.310152
0.7655,22.914246,22.923471,22.809132,22.40328
0.94325,24.664291,24.120848,24.056242,23.616173
0.8003,23.267042,23.284964,23.3725,22.29844
0.87171,22.929106,22.762793,22.542755,21.716263
0.91784,22.691603,22.68805,22.382107,21.415155
0.87173,23.105078,22.830078,23.266521,22.67349
0.78317,24.025482,23.778793,23.633543,22.954977
1.03832,23.227127,23.390467,23.318335,22.999834
0.25464,23.778187,23.397198,23.466011,22.656141
0.87953,22.524614,22.425259,22.199837,21.496004
0.9772,24.454235,24.272203,23.959854,23.615639
1.28574,23.441195,24.084427,23.658346,23.292831
0.8855,23.997131,23.18585,22.902985,22.44675
1.19839,24.56771,24.030293,23.825762,23.296505
0.9449,24.158772,23.79595,23.588316,22.966587
1.09884,23.80833,23.92217,23.983757,23.863976
1.07126,23.480597,23.449745,23.36196,23.231855
1.10169,24.222094,23.804506,23.571756,23.414906
0.83993,22.757975,22.837473,22.500061,21.64536
1.17586,23.443445,23.46829,23.388096,23.091717
0.83965,23.99967,23.63923,23.664011,23.24633
1.10148,23.651678,23.505821,23.85561,23.646862
0.80268,23.691803,24.086142,23.931097,23.205801
1.20762,22.976439,23.25553,22.938225,22.72822
0.16117,24.033579,23.97498,23.843262,23.7427
0.58068,99,24.333101,23.987316,23.657179
0.86549,24.317015,23.709146,23.440695,23.235014
0.5793,24.320871,24.00391,23.900593,23.669308
0.85541,23.572475,23.254421,22.988642,22.100954
0.85918,24.009163,23.87614,23.641058,22.926424
0.7371,24.588537,24.368843,24.035055,23.213545
0.92213,23.774837,23.777966,23.927843,23.621588
0.80542,24.135578,23.66354,23.283005,22.301262
0.61804,99,23.348986,22.948233,22.476501
0.92739,24.254692,23.721323,23.955948,23.584183
0.7999,23.41334,22.81934,22.533407,22.246973
0.71857,23.82351,24.280048,23.850744,23.485947
1.39281,24.132929,24.422825,24.086275,23.375143
0.81051,24.116192,24.082733,24.078827,23.374292
0.91472,25.222637,24.248178,23.994764,23.571756
0.89533,22.549532,22.540966,22.355953,21.72474
0.81018,23.3781,23.218563,23.883005,23.225405
0.554,24.567827,24.231554,24.077477,23.839848
0.78395,23.73863,23.433432,23.18155,22.539305
0.87821,23.542273,23.116919,23.066397,22.271318
1.28138,23.057684,23.20709,22.951757,22.651192
1.32349,24.260492,24.185078,23.954992,23.78678
1.11477,23.43018,23.072807,23.03727,22.725056
0.84881,24.620926,24.008617,23.568455,22.761503
0.84505,24.967148,24.074448,23.69095,22.236515
0.82415,24.161001,24.151804,23.906427,23.1076
0.9063,24.084435,24.391504,24.07941,23.35839
0.80575,23.136358,23.334906,23.202421,22.348537
0.67671,23.90097,23.584244,23.496708,23.015034
0.73655,24.246374,23.842049,23.459404,22.87951
0.75197,23.977423,23.260042,22.945538,22.050083
1.17503,22.642704,22.512487,22.295961,21.806715
1.31362,23.819801,23.688826,23.608803,23.144083
0.73409,23.236568,23.162361,22.940065,22.641008
0.74517,23.977442,23.984575,23.7675,23.216768
0.89343,24.485064,24.206093,23.788607,22.678638
1.19725,23.751003,23.711693,23.653273,23.248755
0.1848,24.613897,23.378036,22.976725,22.845661
0.86933,24.9587,23.964367,23.914267,23.37199
1.16678,24.370367,24.14978,24.064508,23.890797
0.55824,24.130808,23.965927,23.732908,23.522564
0.73527,24.175865,24.156778,23.838974,22.968828
1.3,23.651594,23.42075,23.384867,22.414433
1.28686,24.382868,23.875866,23.527609,23.106394
1.20613,23.302767,22.991676,22.76481,22.547855
0.80832,24.102509,23.603296,23.252129,22.691013
0.91801,23.695734,23.4167,23.45254,22.958042
0.8028,23.608168,23.686415,23.559547,23.099371
0.71747,23.341307,23.134802,23.00926,22.330553
1.33012,24.12906,23.896732,23.913288,23.587858
1.3563,24.279676,23.881554,23.74801,23.241293
1.06215,23.646212,23.55382,23.444563,22.963987
0.84672,23.72216,23.846537,23.935368,23.09445
0.93595,24.35364,24.159159,24.089287,23.831469
