z_phot,MAG_u,MAG_g,MAG_r,MAG_i
1.387,23.786081,23.579155,24.132423,24.72858
1.067,23.950094,24.462854,24.068102,24.296707
0.807,24.1543,22.52833,21.300613,20.439135
0.567,24.044283,24.292965,23.62088,23.593363
0.837,23.662785,23.468132,22.973385,21.85824
0.707,99,25.541769,24.527466,23.661095
0.287,22.115053,21.432734,20.770355,20.625008
0.707,25.57797,25.311493,24.336908,23.42887
0.817,23.323671,23.37037,22.83158,22.253979
0.887,23.827112,24.939941,25.265026,23.603733
0.847,23.741777,23.243895,22.92402,21.998959
0.717,23.589294,24.036615,23.122738,21.613216
0.577,23.275517,22.855707,21.918165,21.342207
0.507,99,25.340364,24.169226,23.215042
0.607,24.00579,24.394287,23.645592,23.10331
0.197,23.037588,22.595146,22.362495,22.325329
1.377,23.896515,24.158686,23.867708,24.26917
0.497,99,24.195827,23.16998,22.216398
0.517,25.268621,25.133318,24.133865,24.111855
1.137,23.985968,23.505318,22.962563,22.328518
0.577,23.299261,23.323477,22.892551,22.773973
0.967,24.985613,24.410624,23.78372,23.508532
1.167,24.56452,24.237078,24.165323,24.312994
0.797,24.875397,24.459658,23.731106,22.735455
1.007,23.925552,23.688564,23.997562,23.190918
0.967,24.708025,23.306812,22.028408,20.866497
0.657,24.2964,24.121542,23.629282,23.43914
0.417,23.12925,22.961338,22.667753,22.400972
0.687,23.574522,23.210411,22.60108,22.087526
0.617,24.341227,23.883657,23.016485,22.220718
1.017,23.669441,23.669691,23.907536,23.610174
1.027,24.329134,24.512558,23.289082,21.878914
0.627,22.806786,22.480085,21.303617,20.721264
0.097,23.339603,23.087912,23.156809,23.00585
0.957,23.768885,23.45575,22.872845,22.093407
0.717,23.656202,23.85677,23.402195,23.205393
0.817,23.799341,23.71176,22.916168,21.961983
1.247,23.219507,23.624584,23.933842,24.340092
0.647,24.393703,24.465933,23.655302,23.676445
0.987,23.845547,23.720085,23.178339,23.17749
0.447,25.167023,24.211613,23.057144,23.207056
0.497,23.447432,23.251585,22.51975,22.204266
0.767,23.26385,23.232908,21.602507,20.61878
1.177,24.697815,24.161982,23.314636,22.938166
0.697,23.306562,23.16506,22.630013,22.17208
0.627,24.426146,24.32848,23.859293,23.796001
1.257,23.60111,23.81183,23.740868,24.349915
0.727,24.453112,24.08516,23.34224,22.615871
0.617,24.338362,25.073265,23.955378,22.78525
1.297,24.532785,24.500841,24.438314,24.289677
0.347,21.905771,21.301102,20.247755,19.942326
1.247,24.242092,24.95139,24.107819,24.506792
0.987,24.145828,24.036758,23.748508,24.059109
0.307,21.099253,20.610117,19.989311,19.751875
0.887,23.775759,23.634188,23.385073,22.930819
1.157,23.533741,23.853558,23.70913,23.562971
0.557,24.50277,23.893494,22.98029,22.393885
1.117,24.681139,24.88465,24.463985,24.332678
0.497,99,25.006304,23.805992,23.705254
0.927,99,24.01635,22.663801,21.461138
0.367,24.528574,23.322618,22.595625,22.427643
0.787,23.138512,23.068598,22.782913,22.692266
0.657,24.504059,24.246698,23.803545,23.076126
1.387,23.515568,23.739548,23.545923,24.195866
1.287,24.15348,23.932512,24.019003,24.151371
0.267,22.688166,22.800713,22.561735,22.545584
0.457,22.057478,22.0359,21.163746,21.032228
0.717,23.218496,23.16398,22.815548,22.099447
0.527,23.484858,23.497023,22.917332,22.908873
0.607,23.58028,23.791864,23.297663,22.739914
1.077,23.326796,23.61885,23.276098,22.76214
1.397,24.07957,23.886957,24.15658,23.82178
0.687,25.239958,24.43114,24.041603,23.822489
0.907,23.50173,23.094097,22.611023,21.582108
1.097,24.571133,24.75605,23.973528,23.957449
0.617,24.063526,24.179382,23.796352,23.550179
0.497,24.286385,24.191238,23.394173,23.153358
0.627,24.305946,23.63536,23.227024,22.73279
0.867,24.638887,23.81933,24.111372,23.305449
1.027,23.238472,23.56071,23.554176,23.0176
0.957,23.78859,23.60946,23.28209,22.818848
1.277,23.245237,23.319712,23.081106,23.020897
1.377,23.428806,23.699781,23.648447,23.469698
0.407,24.82271,23.260313,21.613983,20.965004
0.457,23.184685,22.957409,22.118338,21.94977
1.057,23.23221,23.387388,23.208115,22.868769
1.027,23.738852,25.040218,24.175432,24.156311
0.967,22.71494,22.770697,22.503033,22.019518
0.927,22.734781,22.816515,22.325764,21.606968
1.147,23.07989,22.965712,23.178005,22.6007
0.637,24.360798,23.794144,22.703669,22.028854
0.987,24.335516,24.39125,24.046597,23.644482
0.957,24.317694,24.199678,24.099552,23.385246
0.357,22.093786,21.614634,20.83712,20.796381
0.627,24.472395,24.468855,24.168457,23.728004
1.047,23.197668,23.203833,22.880013,22.472345
0.227,24.49725,22.555267,21.264236,20.730715
0.767,23.344015,23.1723,22.732716,22.073174
0.587,23.591568,23.380419,22.474804,21.967844
0.807,24.588196,24.02109,23.905962,23.169199
0.607,99,25.116886,24.296183,23.188755
1.387,24.093836,24.15902,23.91205,24.324123
0.977,99,24.573153,24.412739,23.878124
0.587,23.95061,23.824236,23.356846,23.429207
0.807,23.201633,23.280087,22.97504,22.412386
0.907,22.398249,22.48032,22.36864,21.85211
0.847,24.471382,23.68375,22.967184,21.823137
1.097,23.367596,23.97001,23.772442,23.104322
0.287,23.732994,21.68489,20.128382,19.52093
0.927,23.754873,23.633469,22.906918,22.06123
0.147,22.925518,21.98109,21.579367,21.403208
1.057,25.107843,24.598469,24.30457,23.700855
0.617,23.755478,23.914747,23.571411,22.987734
1.377,24.519375,23.834135,23.865181,22.86957
0.527,22.832687,22.45932,21.80859,21.57057
0.397,23.862234,23.574354,22.936073,22.632662
1.127,23.389786,23.482325,23.603796,23.002823
1.397,23.355425,23.544903,23.770765,23.830616
0.907,24.491627,24.051731,23.88191,23.195904
0.877,24.27695,24.402756,24.65454,23.047571
0.507,99,25.231575,24.182524,24.664257
0.617,24.365335,24.163887,23.447468,22.654833
0.907,99,25.46354,24.828356,24.099062
0.977,99,24.15834,23.012924,21.828705
1.387,24.064,23.885326,23.65583,23.854776
0.637,23.025215,22.75797,22.352205,22.149515
1.207,24.004124,24.184011,24.133455,23.710478
0.657,23.489902,23.50334,22.860132,22.26268
0.827,24.350365,24.321243,23.93953,23.126905
0.687,22.76587,22.919205,22.599873,22.313942
0.747,22.720806,22.272718,21.972748,21.3664
0.757,24.679407,23.991909,23.58724,23.533413
0.927,23.730309,23.945124,23.49988,22.738081
0.497,23.775808,22.741558,21.010439,20.296963
0.797,23.958076,23.568974,23.046268,22.317772
1.387,24.074707,23.578838,23.432894,23.373308
0.667,24.17144,24.137125,23.296307,22.722158
0.637,24.661423,23.594618,23.142704,23.006807
0.627,24.760433,24.81333,24.373705,23.959608
0.987,24.918756,24.491781,24.420197,24.395088
0.557,24.9327,24.975555,24.193907,24.393034
0.937,24.834986,24.327993,24.224873,23.201336
0.797,24.653753,24.071783,23.913021,23.298203
0.447,99,24.523293,23.198997,22.374762
0.617,23.070425,23.05715,22.424238,21.868591
1.277,23.964386,24.415253,24.094912,24.17625
0.217,23.456747,22.998398,22.827896,22.566124
0.647,99,24.218351,23.441765,23.118784
0.797,24.7306,24.183994,23.690775,22.972126
